City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,umba,66.6871,34.3429,12.24,91,6,1.69,RU,1724009006
276,harper,4.375,-7.7169,24.29,79,7,3.53,LR,1724009007
277,gembu,6.7,11.2667,16.55,97,100,1.44,NG,1724009008
278,rio grande,-32.035,-52.0986,15.71,98,100,6.96,BR,1724009009
279,vilyuysk,63.7553,121.6247,11.26,54,24,2.13,RU,1724009010
280,murun-kuren,49.6342,100.1625,16.25,56,1,1.53,MN,1724009011
281,richards bay,-28.783,32.0377,18.75,83,0,2.63,ZA,1724009013
282,talodi,10.6325,30.3797,22.45,94,100,2.51,SD,1724009014
283,cabugao,17.7931,120.4578,26.73,83,100,1.89,PH,1724009015
284,niagara falls,43.1001,-79.0663,27.58,70,20,8.23,CA,1724008962
285,sigli,5.3848,95.9609,25.08,83,100,2.38,ID,1724009017
286,seguela,7.9611,-6.6731,24.6,80,15,1.63,CI,1724009018
287,guerrero negro,27.9769,-114.0611,25.43,55,0,5.92,MX,1724009020
288,bayanhongor,46.7167,100.1167,11.01,53,1,1.36,MN,1724009022
289,south hedland,-20.4089,118.5983,16.96,88,0,3.09,AU,1724009023
290,tual,-5.6667,132.75,25.52,82,92,7.29,ID,1724009024
291,el colorado,-26.3081,-59.3729,37.51,22,5,4.99,AR,1724009026
292,port alfred,-33.5906,26.891,16.28,76,26,1.04,ZA,1724009027
293,lensk,60.7253,114.9278,15.54,71,100,1.58,RU,1724009028
294,kynsperk nad ohri,50.1189,12.5303,19.75,97,99,2.8,CZ,1724009029
295,le vauclin,14.5452,-60.8388,31.03,70,75,5.66,MQ,1724009030
296,north bend,43.4065,-124.2243,22.37,64,40,7.2,US,1724009031
297,wamba,8.9333,8.6,23.04,94,95,1.61,NG,1724009033
298,colonia,50.9333,6.95,21.64,77,100,2.47,DE,1724008945
299,garoowe,8.4054,48.4845,30.01,37,6,9.0,SO,1724009035
300,arica,-18.475,-70.3042,17.13,67,20,4.63,CL,1724009002
301,bilibino,68.0546,166.4372,4.18,98,100,1.92,RU,1724009037
302,borba,-4.3878,-59.5939,40.01,18,7,1.96,BR,1724009038
303,saint-leu,-21.15,55.2833,20.48,89,22,6.88,RE,1724009040
304,burlington,39.8835,-74.6413,31.09,68,75,3.09,US,1724009041
305,castillos,-34.1667,-53.8333,13.54,96,100,5.11,UY,1724009042
306,jayapura,-2.5333,140.7,23.66,93,59,1.93,ID,1724009043
307,salalah,17.0151,54.0924,25.05,100,100,1.54,OM,1724009044
308,magadan,59.5667,150.8,9.23,83,70,1.76,RU,1724009045
309,al hawatah,13.4167,34.6333,24.53,85,78,3.04,SD,1724009047
310,labrador city,52.9463,-66.9114,20.95,73,100,3.09,CA,1724009048
311,taytay,14.5678,121.1394,27.96,91,40,1.54,PH,1724009049
312,sirte,31.2089,16.5887,29.79,53,0,7.16,LY,1724009050
313,lauttasaari,60.1594,24.8753,17.41,78,0,6.26,FI,1724009051
314,howard springs,-12.497,131.047,23.95,86,52,1.26,AU,1724009053
315,yigo village,13.5361,144.8886,27.16,88,0,4.12,GU,1724009054
316,boyolangu,-8.1181,111.8935,21.81,90,100,0.98,ID,1724009055
317,gamay,12.3854,125.2979,24.83,90,99,1.26,PH,1724009056
318,laguna,38.421,-121.4238,27.58,47,0,2.57,US,1724008959
319,janja,44.6653,19.2478,19.7,92,100,3.81,BA,1724009058
320,leku,6.8667,38.45,15.2,87,89,1.86,ET,1724009060
321,tera,14.0078,0.7531,29.85,63,100,4.12,NE,1724009061
322,tadine,-21.55,167.8833,20.7,90,7,1.37,NC,1724009062
323,yatou,37.15,122.3833,24.66,95,20,2.59,CN,1724009063
324,pahlgam,34.0333,75.3333,12.52,83,37,1.29,IN,1724009064
325,caldwell,43.6629,-116.6874,30.31,27,0,2.57,US,1724008954
326,chernihiv,51.0,32.0,24.08,32,0,3.37,UA,1724009067
327,eyl,7.9803,49.8164,25.44,75,62,11.52,SO,1724009068
328,fort st. john,56.2499,-120.8529,19.94,56,75,0.0,CA,1724009069
329,dunedin,-45.8742,170.5036,3.78,83,64,3.58,NZ,1724009070
330,chimbarongo,-34.7,-71.05,8.23,83,100,1.81,CL,1724009071
331,maasin,10.1336,124.8447,26.63,79,98,2.41,PH,1724009073
332,tazacorte,28.629,-17.9293,23.54,83,20,7.72,ES,1724009074
333,ebon,4.582,168.6964,29.49,66,22,4.17,MH,1724008871
334,coahuayana de hidalgo,18.7,-103.6583,33.61,52,91,2.83,MX,1724009076
335,kurtamysh,54.9103,64.4319,13.83,92,100,4.14,RU,1724009077
336,coquimbo,-29.9533,-71.3436,16.66,66,75,4.12,CL,1724009031
337,yamada,39.4667,141.95,19.6,94,0,1.56,JP,1724009081
338,qamdo,31.1667,97.2333,3.12,55,1,0.78,CN,1724009082
339,kirensk,57.7853,108.1119,19.76,65,100,1.76,RU,1724009083
340,oranjemund,-28.55,16.4333,13.07,85,0,4.39,NA,1724009084
341,catalhoyuk,37.6685,32.8269,24.77,26,0,2.58,TR,1724009085
342,catabola,-12.15,17.2833,19.36,16,0,0.88,AO,1724009087
343,thanh pho uong bi,21.0333,106.7833,28.99,94,83,1.06,VN,1724009088
